error_code,feature,error_description,error_cause,error_response,error_url
XDMP-CORRUPT,XDMP,"read variable1:File corrupt; variable2",File corruption was detected reading a database file.,Check the operating system error log for file system or storage hardware problems. See the MarkLogic technical note on troubleshooting file corruption issues.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CORRUPT
XDMP-CREDBADURL,XDMP,Credential variable1 not valid for URL variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CREDBADURL
XDMP-CREDDECRYPT,XDMP,Unable to decrypt credential variable1 variable2,There is a key encryption key mismatch for this credential,"Make sure the text is actually encrypted. If this credential was originally encrypted on a different cluster; importing encryption keys from that cluster may allow decryption. Alternatively; you can update the credential's sensitive information.",https://docs.marklogic.com/messages/XDMP-en/XDMP-CREDDECRYPT
XDMP-CREDNOSIGN,XDMP,Credential not valid for signing: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CREDNOSIGN
XDMP-CREDNOTENCRYPTED,XDMP,Credential is not encrypted,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-CREDNOTENCRYPTED
XDMP-CREDWITHAUTH,XDMP,Credential in combination with other authentication,"A credential ID was specified along with some other authentication information (user; password; client certificate).","Use either a credential; or authentication; but not both.",https://docs.marklogic.com/messages/XDMP-en/XDMP-CREDWITHAUTH
XDMP-CTXTDEP,XDMP,Function is context dependent: variable1,You cannot dynamically call a function passed as a value if it depends on aspects of the context in order to execute. Only built-in functions can depend on the context in this way.,"You might be able to use another version of the same function where you can explicitly provide the information otherwise used from the context. Or you might want to wrap your call to the function in an explicit inline function such as function($a;$b) { starts-with($a;$b) }.",https://docs.marklogic.com/messages/XDMP-en/XDMP-CTXTDEP
XDMP-CVTNOTFOUND,XDMP,MarkLogic Converters not found,MarkLogic Converters package is not installed on one or more host.,Install MarkLogic Converters package.,https://docs.marklogic.com/messages/XDMP-en/XDMP-CVTNOTFOUND
XDMP-DATABASEDISABLED,XDMP,Database variable1 is disabled,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DATABASEDISABLED
XDMP-DATAGTLIM,XDMP,data>limit,"This is an internal error; indicating corruption in the memory manager.","If you have a current maintenance contract with MarkLogic; you can contact MarkLogic Technical Support.",https://docs.marklogic.com/messages/XDMP-en/XDMP-DATAGTLIM
XDMP-DATE,XDMP,Invalid Date variable1,The requested date is before year -9999 or after 9999,Dates outside the range of year -9999 to 9999 are not supported,https://docs.marklogic.com/messages/XDMP-en/XDMP-DATE
XDMP-DATETIME,XDMP,Invalid dateTime variable1,The value is not a valid dateTime,Review the valid formats for dateTime values.,https://docs.marklogic.com/messages/XDMP-en/XDMP-DATETIME
XDMP-DATETIME2TZ,XDMP,Both arguments to xs:dateTime have timezones,Evaluated fn:dateTime() where both arguments contain an explicit timezone and the timezones are not equivalent.,"When using fn:dateTime ensure that if timezones are specified; they are equivalent in both the date and time arguments; or only present in at most one of the date and time arguments.",https://docs.marklogic.com/messages/XDMP-en/XDMP-DATETIME2TZ
XDMP-DATETIMEOVERFLOW,XDMP,Overflow in date/time arithmetic,The date time resulting from a calculation exceeds the range of year -9999 to year 9999,The date time resulting from a calculation exceeds the range of year -9999 to year 9999,https://docs.marklogic.com/messages/XDMP-en/XDMP-DATETIMEOVERFLOW
XDMP-DATETIMEPARSINGFAILED,XDMP,Failed to parse the dateTime string with the given pattern.,The dateTime format string was unable to be parsed.,Review the format picture and dateTime string for validity.,https://docs.marklogic.com/messages/XDMP-en/XDMP-DATETIMEPARSINGFAILED
XDMP-DBDUPURI,XDMP,URI variable1 found in forests variable2 and variable3 with ts=variable4,The same URI occurs in multiple forests. This may occur if some forests are unavailable during document insert.,Remove the unwanted duplicate document.,https://docs.marklogic.com/messages/XDMP-en/XDMP-DBDUPURI
XDMP-DBNOTQUERYPOLICY,XDMP,"Assignment policy is not a query policy; on database: variable1",The assignment policy on the database is not a query policy.,Check your database configuration and make sure it uses the query policy before calling this function.,https://docs.marklogic.com/messages/XDMP-en/XDMP-DBNOTQUERYPOLICY
XDMP-DBTIMESTAMP,XDMP,Query timestamp not yet known for database variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DBTIMESTAMP
XDMP-DEADLOCK,XDMP,Deadlock detected locking variable1,"A deadlock was detected. When this message occurs at the Debug message level; the deadlock was successfully resolved. When the message occurs at the Notice level; the deadlock was unresolvable. Deadlocks occur when two transactions are each waiting for the other to release a lock and neither can continue until the other releases the lock. Deadlocks are a normal part of database operations. MarkLogic Server is designed to automatically detect and resolve deadlocks. When a deadlock is detected; one of the deadlocked transactions is retried; allowing the other to acquire the lock and continue. When this expected behavior occurs; XDMP-DEADLOCK is written to the log file as a Debug message; to indicate that a deadlock occurred and was resolved. If the deadlock cannot be resolved by repeated retries; the XDMP-DEADLOCK message is written to the log file as a Notice message.","If XDMP-DEADLOCK appears as an infrequent Debug message; no action is required. Deadlocks are a normal part of database operations; and the system successfully resolved the deadlock. If XDMP-DEADLOCK appears frequently as a Debug message; you may have a performance issue. Revise your query or content structure to reduce the frequency of the deadlock. If XDMP-DEADLOCK appears as a Notice message; the system was unable to resolve the deadlock. Examine the error message for details about the contentious resource. Revise your query or content structure to avoid the deadlock.",https://docs.marklogic.com/messages/XDMP-en/XDMP-DEADLOCK
XDMP-DEBLOB,XDMP,Cannot construct from blob: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEBLOB
XDMP-DECOMPOUNDEDSEARCH,XDMP,Decompounded word searches not enabled,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DECOMPOUNDEDSEARCH
XDMP-DECOMPOUNDNOSTEM,XDMP,Decompounded word searches cannot be run unstemmed,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DECOMPOUNDNOSTEM
XDMP-DECOVRFLW,XDMP,Decimal overflow,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DECOVRFLW
XDMP-DECRYPTFAILED,XDMP,Failed to decrypt: variable1,There is a key encryption key mismatch,"Make sure the text is actually encrypted. If this text was originally encrypted on a different cluster; importing encryption keys from that cluster may allow decryption.",https://docs.marklogic.com/messages/XDMP-en/XDMP-DECRYPTFAILED
XDMP-DEEPEQFUNC,XDMP,Functions cannot be compared using deep-equal(),,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEEPEQFUNC
XDMP-DEFAULT-COLLATION,XDMP,default-collation option not allowed in this function,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEFAULT-COLLATION
XDMP-DEFAULT-COORDINATE-SYSTEM,XDMP,default-coordinate-system option not allowed in this function,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEFAULT-COORDINATE-SYSTEM
XDMP-DEFAULTCALENDARNOTFOUND,XDMP,Failed to find default calendar. Make sure that calendars.xml is not accidentally modified in your configuration.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEFAULTCALENDARNOTFOUND
XDMP-DEFAULTCOUNTRYNOTFOUND,XDMP,Failed to find default country. Make sure that countries.xml is not accidentally modified in your configuration.,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEFAULTCOUNTRYNOTFOUND
XDMP-DEFAULTNSDEFND,XDMP,Default namespace is defined,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEFAULTNSDEFND
XDMP-DEFAULTXQUERYVERSION,XDMP,"Default XQuery version is not recognized: ""variable1"" (must be ""0.9-ml""; ""1.0""; ""1.0-ml"" or ""app-server"")",,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEFAULTXQUERYVERSION
XDMP-DELCONSTNODES,XDMP,Cannot delete constructed nodes,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DELCONSTNODES
XDMP-DELETEONLY,XDMP,Forest variable1 can only perform deletes,An update or insertion operation was attempted on a delete-only forest. Only read and delete operations are available on documents in a delete-only forest.,"Move the target document to a forest which permits update operations; or test whether or not the forest allows updates before attempting the update operation. To test the forest status; use the admin:forest-get-updates-allowed function.",https://docs.marklogic.com/messages/XDMP-en/XDMP-DELETEONLY
XDMP-DELEXTNODES,XDMP,Cannot delete external nodes,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DELEXTNODES
XDMP-DEPENDENCY,XDMP,Action on directory failed due to error in processing one of its children: variable2,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DEPENDENCY
XDMP-DESTSAMEASSRC,XDMP,Source and Destination are the same,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DESTSAMEASSRC
XDMP-DFBUFREAD,XDMP,Data Frame buffered read error: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DFBUFREAD
XDMP-DFBUFWRITE,XDMP,Data Frame buffered write error: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DFBUFWRITE
XDMP-DIFFRIDXTYPS,XDMP,variable1 and variable2 have different range index types,A user can specify multiple values in a range query. This error occurs if all the specified values are not of the same data-type.,All values supplied to a range query must be of the same data-type.,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIFFRIDXTYPS
XDMP-DIFFTIMESTAMP,XDMP,Cannot process timestamped requests with same-statement isolation,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIFFTIMESTAMP
XDMP-DIRCREATE,XDMP,Directories cannot be created by adding property only,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIRCREATE
XDMP-DIRELEMENT,XDMP,Directory property cannot be deleted or replaced,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIRELEMENT
XDMP-DIREXISTS,XDMP,Directory already exists,"xdmp:directory-create called with the name of a directory that already exists; or; the directory target of a WebDAV MKCOL directive already exists.",Correct the code or remove the pre-existing directory.,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIREXISTS
XDMP-DIRNOACCESS,XDMP,Cannot access directory: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIRNOACCESS
XDMP-DIRNOTEMPTY,XDMP,Directory cannot be deleted because it is not empty,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIRNOTEMPTY
XDMP-DIRURI,XDMP,Directory URI path must end with '/',The path part of the directory URI provided to xdmp:directory-create or xdmp:directory-delete does not end in with a '/'. For example:,Correct the code by adding a '/' to the end of the path part of the directory URI. For example:,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIRURI
XDMP-DISABLED,XDMP,Service disabled on variable1: variable2,"This message usually indicates the server is shutting down. For example; when you use the Admin Interface to change a configuration parameter that requires a restart; an automatic shutdown and restart occurs. During this shutdown; XDMP-DISABLED may be logged.","If this message appears during an expected shutdown; no action is required. The system is performing as expected. If this message appears in a context in which shutdown is unexpected; examine the logs for other errors to determine the root cause of the shutdown.",https://docs.marklogic.com/messages/XDMP-en/XDMP-DISABLED
XDMP-DISCTOKEN,XDMP,Discarding token variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DISCTOKEN
XDMP-DISFOREIGNREQ,XDMP,Disallowed foreign request: variable1,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DISFOREIGNREQ
XDMP-DIVBYZERO,XDMP,Division by zero,Denominator was found to be zero.,Check that denominator is not zero before dividing.,https://docs.marklogic.com/messages/XDMP-en/XDMP-DIVBYZERO
XDMP-DOCATTRVALCHAR,XDMP,Invalid attribute value character variable1 or missing close quote at variable2 line variable3,,,https://docs.marklogic.com/messages/XDMP-en/XDMP-DOCATTRVALCHAR
